Gene,Biological_Role
SPARCL1,"SPARC like 1: Predicted to enable calcium ion binding activity; collagen binding activity; and extracellular matrix binding activity. Predicted to be involved in anatomical structure development and regulation of synapse organization. Located in extracellular space. [provided by Alliance of Genome Resources, Apr 2022]"
SPATA18,"spermatogenesis associated 18: This gene encodes a p53-inducible protein that is able to induce lysosome-like organelles within mitochondria that eliminate oxidized mitochondrial proteins, thereby contributing to mitochondrial quality control. Dysregulation of mitochondrial quality control is associated with cancer and degenerative diseases. The encoded protein mediates accumulation of the lysosome-like mitochondrial organelles through interaction with B cell lymphoma 2 interacting protein 3 and B cell lymphoma 2 interacting protein 3 like at the outer mitochondrial membrane, which allows translocation of lysosomal proteins to the mitochondrial matrix from the cytosol. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016]"
SPATA2,"spermatogenesis associated 2: Enables signaling receptor complex adaptor activity and ubiquitin-specific protease binding activity. Involved in several processes, including protein deubiquitination; regulation of necroptotic process; and regulation of tumor necrosis factor-mediated signaling pathway. Located in cytoplasm; fibrillar center; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
SPC24,"SPC24 component of NDC80 kinetochore complex: Predicted to be involved in cell division. Located in nucleolus and nucleoplasm. Part of Ndc80 complex. [provided by Alliance of Genome Resources, Apr 2022]"
SPC25,"SPC25 component of NDC80 kinetochore complex: This gene encodes a protein that may be involved in kinetochore-microtubule interaction and spindle checkpoint activity. [provided by RefSeq, Jul 2008]"
SPDYA,"speedy/RINGO cell cycle regulator family member A: Enables protein kinase activator activity and protein kinase binding activity. Involved in several processes, including G1/S transition of mitotic cell cycle; positive regulation of cell population proliferation; and positive regulation of protein kinase activity. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
SPECC1,"sperm antigen with calponin homology and coiled-coil domains 1: The protein encoded by this gene belongs to the cytospin-A family. It is localized in the nucleus, and highly expressed in testis and some cancer cell lines. A chromosomal translocation involving this gene and platelet-derived growth factor receptor, beta gene (PDGFRB) may be a cause of juvenile myelomonocytic leukemia. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Aug 2011]"
SPHK1,"sphingosine kinase 1: The protein encoded by this gene catalyzes the phosphorylation of sphingosine to form sphingosine-1-phosphate (S1P), a lipid mediator with both intra- and extracellular functions. Intracellularly, S1P regulates proliferation and survival, and extracellularly, it is a ligand for cell surface G protein-coupled receptors. This protein, and its product S1P, play a key role in TNF-alpha signaling and the NF-kappa-B activation pathway important in inflammatory, antiapoptotic, and immune processes. Phosphorylation of this protein alters its catalytic activity and promotes its translocation to the plasma membrane. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2017]"
SPHK2,"sphingosine kinase 2: This gene encodes one of two sphingosine kinase isozymes that catalyze the phosphorylation of sphingosine into sphingosine 1-phosphate. Sphingosine 1-phosphate mediates many cellular processes including migration, proliferation and apoptosis, and also plays a role in several types of cancer by promoting angiogenesis and tumorigenesis. The encoded protein may play a role in breast cancer proliferation and chemoresistance. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Aug 2011]"
SPHKAP,"SPHK1 interactor, AKAP domain containing: Enables protein kinase A binding activity. Predicted to be located in Z disc. Predicted to be active in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]"
SPI1,"Spi-1 proto-oncogene: This gene encodes an ETS-domain transcription factor that activates gene expression during myeloid and B-lymphoid cell development. The nuclear protein binds to a purine-rich sequence known as the PU-box found near the promoters of target genes, and regulates their expression in coordination with other transcription factors and cofactors. The protein can also regulate alternative splicing of target genes. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
SPIB,"Spi-B transcription factor: The protein encoded by this gene is a transcriptional activator that binds to the PU-box (5'-GAGGAA-3') and acts as a lymphoid-specific enhancer. Four transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]"
SPINK1,"serine peptidase inhibitor Kazal type 1: The protein encoded by this gene is a trypsin inhibitor, which is secreted from pancreatic acinar cells into pancreatic juice. It is thought to function in the prevention of trypsin-catalyzed premature activation of zymogens within the pancreas and the pancreatic duct. Mutations in this gene are associated with hereditary pancreatitis and tropical calcific pancreatitis. [provided by RefSeq, Oct 2008]"
SPINK7,"serine peptidase inhibitor Kazal type 7: Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be involved in negative regulation of endopeptidase activity. Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]"
SPINT1-AS1,SPINT1 antisense RNA 1
SPINT2,"serine peptidase inhibitor, Kunitz type 2: This gene encodes a transmembrane protein with two extracellular Kunitz domains that inhibits a variety of serine proteases. The protein inhibits HGF activator which prevents the formation of active hepatocyte growth factor. This gene is a putative tumor suppressor, and mutations in this gene result in congenital sodium diarrhea. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2009]"
SPN,"sialophorin: This gene encodes a highly sialylated glycoprotein that functions in antigen-specific activation of T cells, and is found on the surface of thymocytes, T lymphocytes, monocytes, granulocytes, and some B lymphocytes. It contains a mucin-like extracellular domain, a transmembrane region and a carboxy-terminal intracellular region. The extracellular domain has a high proportion of serine and threonine residues, allowing extensive O-glycosylation, and has one potential N-glycosylation site, while the carboxy-terminal region has potential phosphorylation sites that may mediate transduction of activation signals. Different glycoforms of this protein have been described. In stimulated immune cells, proteolytic cleavage of the extracellular domain occurs in some cell types, releasing a soluble extracellular fragment. Defects in expression of this gene are associated with Wiskott-Aldrich syndrome. [provided by RefSeq, Sep 2017]"
